"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1500000US170310402022","Block Group 2, Census Tract 402.02, Cook County, Illinois","953","193","300","129","653","192",
"1500000US170310402023","Block Group 3, Census Tract 402.02, Cook County, Illinois","655","148","81","51","574","143",
"1500000US170310402024","Block Group 4, Census Tract 402.02, Cook County, Illinois","853","174","196","85","657","180",
"1500000US170310403001","Block Group 1, Census Tract 403, Cook County, Illinois","319","81","273","79","46","39",
"1500000US170310403002","Block Group 2, Census Tract 403, Cook County, Illinois","465","89","207","71","258","88",
"1500000US170310403003","Block Group 3, Census Tract 403, Cook County, Illinois","286","83","168","76","118","57",
"1500000US170310404011","Block Group 1, Census Tract 404.01, Cook County, Illinois","355","97","227","71","128","72",
"1500000US170310404012","Block Group 2, Census Tract 404.01, Cook County, Illinois","256","74","124","53","132","64",
"1500000US170310404013","Block Group 3, Census Tract 404.01, Cook County, Illinois","327","86","187","70","140","73",
"1500000US170310404014","Block Group 4, Census Tract 404.01, Cook County, Illinois","442","127","322","126","120","41",
"1500000US170310404021","Block Group 1, Census Tract 404.02, Cook County, Illinois","267","69","155","79","112","49",
"1500000US170310404022","Block Group 2, Census Tract 404.02, Cook County, Illinois","380","120","83","45","297","109",
"1500000US170310404023","Block Group 3, Census Tract 404.02, Cook County, Illinois","620","125","166","76","454","120",
"1500000US170310404024","Block Group 4, Census Tract 404.02, Cook County, Illinois","286","99","115","47","171","98",
"1500000US170310404025","Block Group 5, Census Tract 404.02, Cook County, Illinois","848","156","247","75","601","147",
"1500000US170310406001","Block Group 1, Census Tract 406, Cook County, Illinois","274","102","91","43","183","96",
"1500000US170310406002","Block Group 2, Census Tract 406, Cook County, Illinois","458","83","116","47","342","83",
"1500000US170310406003","Block Group 3, Census Tract 406, Cook County, Illinois","457","130","213","120","244","70",
"1500000US170310407001","Block Group 1, Census Tract 407, Cook County, Illinois","370","92","153","59","217","88",
"1500000US170310407002","Block Group 2, Census Tract 407, Cook County, Illinois","464","115","219","62","245","101",
"1500000US170310407003","Block Group 3, Census Tract 407, Cook County, Illinois","307","67","169","58","138","61",
"1500000US170310407004","Block Group 4, Census Tract 407, Cook County, Illinois","432","106","172","84","260","78",
"1500000US170310408001","Block Group 1, Census Tract 408, Cook County, Illinois","337","57","142","51","195","39",
"1500000US170310408002","Block Group 2, Census Tract 408, Cook County, Illinois","456","103","200","42","256","107",
"1500000US170310409001","Block Group 1, Census Tract 409, Cook County, Illinois","732","138","215","67","517","148",
"1500000US170310409002","Block Group 2, Census Tract 409, Cook County, Illinois","321","85","180","58","141","71",
"1500000US170310501001","Block Group 1, Census Tract 501, Cook County, Illinois","395","92","129","55","266","92",
"1500000US170310501002","Block Group 2, Census Tract 501, Cook County, Illinois","732","104","343","88","389","82",
"1500000US170310502001","Block Group 1, Census Tract 502, Cook County, Illinois","260","79","181","72","79","53",
"1500000US170310502002","Block Group 2, Census Tract 502, Cook County, Illinois","1022","198","744","182","278","117",
"1500000US170310502003","Block Group 3, Census Tract 502, Cook County, Illinois","744","141","449","123","295","106",
"1500000US170310503001","Block Group 1, Census Tract 503, Cook County, Illinois","393","86","143","54","250","79",
"1500000US170310503002","Block Group 2, Census Tract 503, Cook County, Illinois","243","66","194","63","49","34",
"1500000US170310503003","Block Group 3, Census Tract 503, Cook County, Illinois","410","103","279","92","131","59",
"1500000US170310505001","Block Group 1, Census Tract 505, Cook County, Illinois","472","128","359","93","113","101",
"1500000US170310505002","Block Group 2, Census Tract 505, Cook County, Illinois","483","105","180","76","303","107",
"1500000US170310505003","Block Group 3, Census Tract 505, Cook County, Illinois","361","108","231","100","130","58",
"1500000US170310505004","Block Group 4, Census Tract 505, Cook County, Illinois","542","186","350","134","192","142",
"1500000US170310505005","Block Group 5, Census Tract 505, Cook County, Illinois","261","81","177","94","84","63",
"1500000US170310506001","Block Group 1, Census Tract 506, Cook County, Illinois","636","156","276","73","360","162",
"1500000US170310506002","Block Group 2, Census Tract 506, Cook County, Illinois","457","84","262","74","195","63",
"1500000US170310507001","Block Group 1, Census Tract 507, Cook County, Illinois","694","163","419","58","275","157",
"1500000US170310508001","Block Group 1, Census Tract 508, Cook County, Illinois","531","61","238","51","293","57",
"1500000US170310509001","Block Group 1, Census Tract 509, Cook County, Illinois","605","109","236","60","369","97",
"1500000US170310510001","Block Group 1, Census Tract 510, Cook County, Illinois","715","72","419","74","296","68",
"1500000US170310511001","Block Group 1, Census Tract 511, Cook County, Illinois","714","147","350","73","364","135",
"1500000US170310512001","Block Group 1, Census Tract 512, Cook County, Illinois","323","75","122","32","201","71",
"1500000US170310512002","Block Group 2, Census Tract 512, Cook County, Illinois","312","83","153","72","159","49",
"1500000US170310513001","Block Group 1, Census Tract 513, Cook County, Illinois","394","78","225","61","169","78",
"1500000US170310513002","Block Group 2, Census Tract 513, Cook County, Illinois","660","109","558","110","102","53",
"1500000US170310514001","Block Group 1, Census Tract 514, Cook County, Illinois","459","84","285","77","174","58",
"1500000US170310514002","Block Group 2, Census Tract 514, Cook County, Illinois","430","75","260","55","170","61",
"1500000US170310601001","Block Group 1, Census Tract 601, Cook County, Illinois","375","94","158","60","217","92",
"1500000US170310601002","Block Group 2, Census Tract 601, Cook County, Illinois","520","121","262","74","258","109",
"1500000US170310601003","Block Group 3, Census Tract 601, Cook County, Illinois","393","85","288","80","105","55",
"1500000US170310602001","Block Group 1, Census Tract 602, Cook County, Illinois","720","129","261","109","459","79",
"1500000US170310602002","Block Group 2, Census Tract 602, Cook County, Illinois","371","79","123","54","248","60",
"1500000US170310603001","Block Group 1, Census Tract 603, Cook County, Illinois","614","113","315","82","299","93",
"1500000US170310603002","Block Group 2, Census Tract 603, Cook County, Illinois","571","116","208","72","363","125",
"1500000US170310604001","Block Group 1, Census Tract 604, Cook County, Illinois","755","127","365","83","390","111",
"1500000US170310604002","Block Group 2, Census Tract 604, Cook County, Illinois","408","110","161","53","247","105",
"1500000US170310604003","Block Group 3, Census Tract 604, Cook County, Illinois","479","115","293","103","186","69",
"1500000US170310605001","Block Group 1, Census Tract 605, Cook County, Illinois","676","77","149","44","527","77",
"1500000US170310608001","Block Group 1, Census Tract 608, Cook County, Illinois","690","142","269","87","421","142",
"1500000US170310608002","Block Group 2, Census Tract 608, Cook County, Illinois","0","12","0","12","0","12",
"1500000US170310608003","Block Group 3, Census Tract 608, Cook County, Illinois","1199","308","760","273","439","182",
"1500000US170310608004","Block Group 4, Census Tract 608, Cook County, Illinois","1572","292","513","163","1059","291",
"1500000US170310609001","Block Group 1, Census Tract 609, Cook County, Illinois","809","235","115","65","694","232",
"1500000US170310609002","Block Group 2, Census Tract 609, Cook County, Illinois","0","12","0","12","0","12",
"1500000US170310609003","Block Group 3, Census Tract 609, Cook County, Illinois","873","233","224","97","649","224",
"1500000US170310609004","Block Group 4, Census Tract 609, Cook County, Illinois","304","186","58","64","246","180",
"1500000US170310609005","Block Group 5, Census Tract 609, Cook County, Illinois","1233","367","819","341","414","208",
"1500000US170310609006","Block Group 6, Census Tract 609, Cook County, Illinois","1422","466","826","430","596","205",
"1500000US170310610001","Block Group 1, Census Tract 610, Cook County, Illinois","1087","113","300","97","787","102",
"1500000US170310611001","Block Group 1, Census Tract 611, Cook County, Illinois","684","114","244","67","440","108",
"1500000US170310612001","Block Group 1, Census Tract 612, Cook County, Illinois","801","86","319","62","482","84",
"1500000US170310615001","Block Group 1, Census Tract 615, Cook County, Illinois","866","84","297","58","569","77",
"1500000US170310618001","Block Group 1, Census Tract 618, Cook County, Illinois","756","121","136","40","620","122",
