"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)",
"1500000US170310306041","Block Group 1, Census Tract 306.04, Cook County, Illinois","60670","11565",
"1500000US170310306042","Block Group 2, Census Tract 306.04, Cook County, Illinois","62955","11896",
"1500000US170310306043","Block Group 3, Census Tract 306.04, Cook County, Illinois","16481","11549",
"1500000US170310307011","Block Group 1, Census Tract 307.01, Cook County, Illinois","44375","7464",
"1500000US170310307021","Block Group 1, Census Tract 307.02, Cook County, Illinois","63920","16731",
"1500000US170310307022","Block Group 2, Census Tract 307.02, Cook County, Illinois","54722","21793",
"1500000US170310307031","Block Group 1, Census Tract 307.03, Cook County, Illinois","-","**",
"1500000US170310307032","Block Group 2, Census Tract 307.03, Cook County, Illinois","13979","1435",
"1500000US170310307033","Block Group 3, Census Tract 307.03, Cook County, Illinois","75938","17312",
"1500000US170310307061","Block Group 1, Census Tract 307.06, Cook County, Illinois","37445","8853",
"1500000US170310307062","Block Group 2, Census Tract 307.06, Cook County, Illinois","72966","9242",
"1500000US170310308001","Block Group 1, Census Tract 308, Cook County, Illinois","46157","16819",
"1500000US170310308002","Block Group 2, Census Tract 308, Cook County, Illinois","97708","33489",
"1500000US170310308003","Block Group 3, Census Tract 308, Cook County, Illinois","86100","41380",
"1500000US170310308004","Block Group 4, Census Tract 308, Cook County, Illinois","100441","33626",
"1500000US170310309001","Block Group 1, Census Tract 309, Cook County, Illinois","106406","28569",
"1500000US170310309002","Block Group 2, Census Tract 309, Cook County, Illinois","47209","38146",
"1500000US170310309003","Block Group 3, Census Tract 309, Cook County, Illinois","95000","51008",
"1500000US170310309004","Block Group 4, Census Tract 309, Cook County, Illinois","98750","16092",
"1500000US170310310001","Block Group 1, Census Tract 310, Cook County, Illinois","101042","50034",
"1500000US170310310002","Block Group 2, Census Tract 310, Cook County, Illinois","81431","10471",
"1500000US170310310003","Block Group 3, Census Tract 310, Cook County, Illinois","79688","21578",
"1500000US170310311001","Block Group 1, Census Tract 311, Cook County, Illinois","109107","49560",
"1500000US170310311002","Block Group 2, Census Tract 311, Cook County, Illinois","54778","30297",
"1500000US170310311003","Block Group 3, Census Tract 311, Cook County, Illinois","65707","15964",
"1500000US170310312001","Block Group 1, Census Tract 312, Cook County, Illinois","53144","15902",
"1500000US170310312002","Block Group 2, Census Tract 312, Cook County, Illinois","38399","28106",
"1500000US170310312003","Block Group 3, Census Tract 312, Cook County, Illinois","25579","15511",
"1500000US170310312004","Block Group 4, Census Tract 312, Cook County, Illinois","-","**",
"1500000US170310313001","Block Group 1, Census Tract 313, Cook County, Illinois","35791","5052",
"1500000US170310313002","Block Group 2, Census Tract 313, Cook County, Illinois","57153","8881",
"1500000US170310313003","Block Group 3, Census Tract 313, Cook County, Illinois","91104","50074",
"1500000US170310313004","Block Group 4, Census Tract 313, Cook County, Illinois","39009","26197",
"1500000US170310313005","Block Group 5, Census Tract 313, Cook County, Illinois","56566","7277",
"1500000US170310314001","Block Group 1, Census Tract 314, Cook County, Illinois","75743","23882",
"1500000US170310314002","Block Group 2, Census Tract 314, Cook County, Illinois","57043","16381",
"1500000US170310314003","Block Group 3, Census Tract 314, Cook County, Illinois","56181","11648",
"1500000US170310314004","Block Group 4, Census Tract 314, Cook County, Illinois","100234","41372",
"1500000US170310314005","Block Group 5, Census Tract 314, Cook County, Illinois","66635","52593",
"1500000US170310315011","Block Group 1, Census Tract 315.01, Cook County, Illinois","21154","11665",
"1500000US170310315012","Block Group 2, Census Tract 315.01, Cook County, Illinois","51017","9779",
"1500000US170310315013","Block Group 3, Census Tract 315.01, Cook County, Illinois","43793","7115",
"1500000US170310315021","Block Group 1, Census Tract 315.02, Cook County, Illinois","54824","26125",
"1500000US170310315022","Block Group 2, Census Tract 315.02, Cook County, Illinois","31613","30610",
"1500000US170310315023","Block Group 3, Census Tract 315.02, Cook County, Illinois","14484","6196",
"1500000US170310317001","Block Group 1, Census Tract 317, Cook County, Illinois","56763","26134",
"1500000US170310317002","Block Group 2, Census Tract 317, Cook County, Illinois","66000","26336",
"1500000US170310317003","Block Group 3, Census Tract 317, Cook County, Illinois","82563","24055",
"1500000US170310317004","Block Group 4, Census Tract 317, Cook County, Illinois","76447","14258",
"1500000US170310318001","Block Group 1, Census Tract 318, Cook County, Illinois","74309","12866",
"1500000US170310319001","Block Group 1, Census Tract 319, Cook County, Illinois","73750","22159",
"1500000US170310319002","Block Group 2, Census Tract 319, Cook County, Illinois","72813","54812",
"1500000US170310321001","Block Group 1, Census Tract 321, Cook County, Illinois","71120","7938",
"1500000US170310321002","Block Group 2, Census Tract 321, Cook County, Illinois","79050","31749",
"1500000US170310321003","Block Group 3, Census Tract 321, Cook County, Illinois","62900","51447",
"1500000US170310321004","Block Group 4, Census Tract 321, Cook County, Illinois","33190","25064",
"1500000US170310321005","Block Group 5, Census Tract 321, Cook County, Illinois","131397","68462",
"1500000US170310401001","Block Group 1, Census Tract 401, Cook County, Illinois","85000","26512",
"1500000US170310401002","Block Group 2, Census Tract 401, Cook County, Illinois","67917","14395",
"1500000US170310401003","Block Group 3, Census Tract 401, Cook County, Illinois","118929","39419",
"1500000US170310402011","Block Group 1, Census Tract 402.01, Cook County, Illinois","102604","16018",
"1500000US170310402012","Block Group 2, Census Tract 402.01, Cook County, Illinois","58021","13722",
"1500000US170310402013","Block Group 3, Census Tract 402.01, Cook County, Illinois","86487","11956",
"1500000US170310402014","Block Group 4, Census Tract 402.01, Cook County, Illinois","99274","24919",
"1500000US170310402021","Block Group 1, Census Tract 402.02, Cook County, Illinois","95700","55497",
"1500000US170310402022","Block Group 2, Census Tract 402.02, Cook County, Illinois","52330","25231",
"1500000US170310402023","Block Group 3, Census Tract 402.02, Cook County, Illinois","37978","16983",
"1500000US170310402024","Block Group 4, Census Tract 402.02, Cook County, Illinois","39453","13992",
"1500000US170310403001","Block Group 1, Census Tract 403, Cook County, Illinois","148188","20680",
"1500000US170310403002","Block Group 2, Census Tract 403, Cook County, Illinois","60794","11389",
"1500000US170310403003","Block Group 3, Census Tract 403, Cook County, Illinois","92188","39013",
"1500000US170310404011","Block Group 1, Census Tract 404.01, Cook County, Illinois","107361","48521",
"1500000US170310404012","Block Group 2, Census Tract 404.01, Cook County, Illinois","148000","66041",
"1500000US170310404013","Block Group 3, Census Tract 404.01, Cook County, Illinois","94028","9835",
