"GEO_ID","NAME","B17021_001E","B17021_001M","B17021_002E","B17021_002M","B17021_003E","B17021_003M","B17021_004E","B17021_004M","B17021_005E","B17021_005M","B17021_006E","B17021_006M","B17021_007E","B17021_007M","B17021_008E","B17021_008M","B17021_009E","B17021_009M","B17021_010E","B17021_010M","B17021_011E","B17021_011M","B17021_012E","B17021_012M","B17021_013E","B17021_013M","B17021_014E","B17021_014M","B17021_015E","B17021_015M","B17021_016E","B17021_016M","B17021_017E","B17021_017M","B17021_018E","B17021_018M","B17021_019E","B17021_019M","B17021_020E","B17021_020M","B17021_021E","B17021_021M","B17021_022E","B17021_022M","B17021_023E","B17021_023M","B17021_024E","B17021_024M","B17021_025E","B17021_025M","B17021_026E","B17021_026M","B17021_027E","B17021_027M","B17021_028E","B17021_028M","B17021_029E","B17021_029M","B17021_030E","B17021_030M","B17021_031E","B17021_031M","B17021_032E","B17021_032M","B17021_033E","B17021_033M","B17021_034E","B17021_034M","B17021_035E","B17021_035M",
"1500000US170318206042","Block Group 2, Census Tract 8206.04, Cook County, Illinois","840","317","224","160","216","160","101","140","101","140","0","12","115","149","0","12","0","12","0","12","115","149","115","149","0","12","8","12","8","12","8","12","0","12","0","12","616","273","572","271","470","260","470","260","0","12","102","87","31","50","31","50","0","12","71","68","71","68","0","12","44","33","44","33","44","33","0","12","0","12",
"1500000US170318206051","Block Group 1, Census Tract 8206.05, Cook County, Illinois","1884","642","114","112","64","96","0","12","0","12","0","12","64","96","0","12","0","12","0","12","64","96","64","96","0","12","50","58","50","58","50","58","0","12","0","12","1770","639","1317","639","1051","601","1051","601","0","12","266","247","86","112","86","112","0","12","180","233","180","233","0","12","453","214","385","172","330","173","55","78","68","97",
"1500000US170318206052","Block Group 2, Census Tract 8206.05, Cook County, Illinois","1824","853","372","379","307","380","27","46","27","46","0","12","280","379","246","376","246","376","0","12","34","54","24","37","10","17","65","70","62","69","62","69","0","12","3","9","1452","801","1277","805","255","142","255","142","0","12","1022","807","302","220","302","220","0","12","720","782","420","379","300","428","175","90","151","74","123","67","28","30","24","29",
"1500000US170318206053","Block Group 3, Census Tract 8206.05, Cook County, Illinois","1650","455","578","276","443","295","120","193","120","193","0","12","323","278","0","12","0","12","0","12","323","278","323","278","0","12","135","181","0","12","0","12","0","12","135","181","1072","413","767","372","109","164","109","164","0","12","658","346","136","215","95","150","41","65","522","290","508","295","14","34","305","253","184","120","123","97","61","82","121","163",
"1500000US170318206061","Block Group 1, Census Tract 8206.06, Cook County, Illinois","2145","293","49","56","21","34","21","34","21","34","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","28","44","28","44","0","12","28","44","0","12","2096","290","1680","306","1551","321","1551","321","0","12","129","99","17","29","17","29","0","12","112","95","97","83","15","23","416","128","328","116","273","117","55","45","88","61",
"1500000US170318206062","Block Group 2, Census Tract 8206.06, Cook County, Illinois","2018","522","363","260","339","261","251","239","209","229","42","62","88","115","0","12","0","12","0","12","88","115","88","115","0","12","24","19","24","19","24","19","0","12","0","12","1655","480","1455","491","1344","459","1344","459","0","12","111","121","63","95","47","70","16","25","48","74","34","52","14","22","200","97","178","89","156","89","22","27","22","27",
"1500000US170318207001","Block Group 1, Census Tract 8207, Cook County, Illinois","1357","491","16","26","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","16","26","0","12","0","12","0","12","16","26","1341","492","1275","501","1086","517","1086","517","0","12","189","141","77","91","77","91","0","12","112","131","112","131","0","12","66","54","66","54","49","47","17","27","0","12",
"1500000US170318207002","Block Group 2, Census Tract 8207, Cook County, Illinois","2095","735","162","138","77","116","77","116","0","12","77","116","0","12","0","12","0","12","0","12","0","12","0","12","0","12","85","81","85","81","85","81","0","12","0","12","1933","682","1844","695","1161","539","1161","539","0","12","683","600","0","12","0","12","0","12","683","600","683","600","0","12","89","61","89","61","89","61","0","12","0","12",
"1500000US170318207003","Block Group 3, Census Tract 8207, Cook County, Illinois","1172","489","86","95","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","86","95","35","42","35","42","0","12","51","82","1086","481","946","495","729","484","729","484","0","12","217","142","141","104","141","104","0","12","76","122","76","122","0","12","140","108","137","108","85","81","52","89","3","3",
"1500000US170318207004","Block Group 4, Census Tract 8207, Cook County, Illinois","1937","549","227","228","173","220","173","220","149","219","24","36","0","12","0","12","0","12","0","12","0","12","0","12","0","12","54","52","54","52","54","52","0","12","0","12","1710","542","1479","575","893","472","893","472","0","12","586","398","483","370","483","370","0","12","103","126","103","126","0","12","231","161","231","161","231","161","0","12","0","12",
"1500000US170318208001","Block Group 1, Census Tract 8208, Cook County, Illinois","1296","299","330","233","320","232","173","164","173","164","0","12","147","156","73","115","61","96","12","19","74","114","74","114","0","12","10","11","10","11","10","11","0","12","0","12","966","248","886","248","645","236","639","237","6","10","241","125","74","94","74","94","0","12","167","91","160","89","7","10","80","53","61","36","44","25","17","21","19","21",
"1500000US170318208002","Block Group 2, Census Tract 8208, Cook County, Illinois","1225","333","108","104","77","99","35","49","35","49","0","12","42","66","42","66","0","12","42","66","0","12","0","12","0","12","31","26","21","21","21","21","0","12","10","16","1117","287","1015","285","531","197","531","197","0","12","484","218","158","149","151","147","7","9","326","174","315","171","11","11","102","61","78","42","52","35","26","29","24","27",
"1500000US170318208003","Block Group 3, Census Tract 8208, Cook County, Illinois","1306","350","23","16","20","17","4","5","0","12","4","5","16","16","8","12","0","12","8","12","8","10","8","10","0","12","3","4","3","4","3","4","0","12","0","12","1283","348","1224","349","966","366","964","366","2","5","258","117","126","102","126","102","0","12","132","75","128","73","4","6","59","28","51","20","43","18","8","12","8","12",
"1500000US170318209011","Block Group 1, Census Tract 8209.01, Cook County, Illinois","2165","495","223","188","191","184","162","180","162","180","0","12","29","46","0","12","0","12","0","12","29","46","29","46","0","12","32","33","32","33","32","33","0","12","0","12","1942","439","1598","455","788","357","788","357","0","12","810","338","225","247","225","247","0","12","585","378","522","349","63","62","344","149","287","113","254","105","33","37","57","62",
"1500000US170318209012","Block Group 2, Census Tract 8209.01, Cook County, Illinois","1616","494","160","182","160","182","126","176","126","176","0","12","34","55","0","12","0","12","0","12","34","55","34","55","0","12","0","12","0","12","0","12","0","12","0","12","1456","510","1340","504","1083","473","1083","473","0","12","257","213","106","122","106","122","0","12","151","190","125","151","26","39","116","97","88","63","67","54","21","38","28","48",
"1500000US170318209013","Block Group 3, Census Tract 8209.01, Cook County, Illinois","478","209","16","23","16","23","0","12","0","12","0","12","16","23","0","12","0","12","0","12","16","23","16","23","0","12","0","12","0","12","0","12","0","12","0","12","462","210","381","198","263","157","263","157","0","12","118","126","82","119","82","119","0","12","36","41","36","41","0","12","81","86","43","42","8","12","35","39","38","45",
"1500000US170318209014","Block Group 4, Census Tract 8209.01, Cook County, Illinois","727","251","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","727","251","704","257","496","248","496","248","0","12","208","133","73","92","73","92","0","12","135","113","135","113","0","12","23","22","23","22","23","22","0","12","0","12",
"1500000US170318209021","Block Group 1, Census Tract 8209.02, Cook County, Illinois","906","396","37","44","14","23","14","23","14","23","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","23","38","0","12","0","12","0","12","23","38","869","392","803","388","693","372","693","372","0","12","110","97","35","65","35","65","0","12","75","84","75","84","0","12","66","39","66","39","49","29","17","28","0","12",
"1500000US170318209022","Block Group 2, Census Tract 8209.02, Cook County, Illinois","1490","403","192","204","179","204","0","12","0","12","0","12","179","204","179","204","179","204","0","12","0","12","0","12","0","12","13","17","13","17","13","17","0","12","0","12","1298","388","1272","388","1024","379","1001","369","23","38","248","215","147","165","147","165","0","12","101","126","101","126","0","12","26","26","26","26","26","26","0","12","0","12",
