GEOID,neighbors
127,"170316611005,170316608003,170316608005,170316609002,170316610004,170316610005,170316611001,170316611002,170316504001,170316609001,170316504003,170316605002,170316605003,170316608002,170316611003,170316611004,170316608004,170316503022"
128,"170316611002,170316609003,170316611004"
129,"170316810001,170316702001,170316708002,170316701002,170316708001,170316806001,170316709001,170316701001,170318349002,170316711001"
130,"170316709002,170316708002,170316701002,170316119001,170316118001,170316708001,170316707001,170316119002,170316703001,170316703002"
131,"170316709002,170316702001,170316707002,170316708001,170316707001,170316712001,170318349002,170316703001,170316711001"
132,"170316706001,170316116002,170316117001,170316705001,170316707001,170316118002,170316703001,170316703002,170316117002"
133,"170316716002,170316715002,170316719001,170316720001,170316720002,170316715001,170316716003,170316713002"
134,"170316715003,170316720002,170316720004,170316607002,170316610001,170316610002,170316714002,170316713002,170316713003,170316720003"
135,"170316716002,170316811005,170316719001,170316814002,170317103001,170317102004,170317102005,170318349001"
136,"170316716002,170316715003,170316718001,170316720001,170317103001,170316720004,170317102005,170317104001,170318349001"
137,"170316809001,170316809003,170316809004,170318425001,170318346001"
138,"170316810003,170316810001,170316806001,170318348002,170316809004,170316810002"
139,"170318051072,170318051062,170318051093,170318051102,170318051103,170318051104,170318051071"
140,"170318053011,170318053021,170318053022,170318060044,170318060041,170318053013,170318053023"
141,"170318051116,170318051121,170317706011,170318051111,170318051113,170318051114"
142,"170318052023,170318053021,170318053022,170318052022,170318086002,170318053012,170318084003"
143,"170318062012,170318062021,170318059012,170318061021,170318062022,170318063001,170318063002,170318062011"
144,"170318001002,170318002001,170318002002"
145,"170318021001,170318022003,170318021003,170318021002,170318086001,170318022001"
146,"170318158001,170318182004,170318186001,170318171022,170318186002,170318180001,170318180002,170318181001,170318181002,170318182001,170318182002,170318177001,170318182003,170318179003,170318156004,170318156005,170318187001"
147,"170318190002,170318189002,170318189003,170318190003,170318186003,170318190004,170318185001"
148,"170318174002,170318164023,170318164024,170318173001,170318174001,170318175003"
149,"170318208001,170318208002,170315609002,170315609001,170315607002,170315608003,170315602001,170315602002,170318203001,170318191001,170318207002,170318202021,170315608001,170315603001,170315608002,170315608005,170318207001,170315609004,170315608004,170315609003,170315609005"
150,"170318266001,170318266005,170315305033,170315401011,170315305031,170315306001,170318213004,170318214022,170315305021,170315401021,170318267001,170318268004,170318265001"
151,"170318227012,170317402001,170318217005,170318221023,170318221024"
152,"170318245071,170318245072,170318253032,170318253031"
153,"170318262014,170318262012"
154,"170318270002,170318270003,170318267002,170318267003,170318267004,170318268001,170318268002,170318213004,170318215001,170318267001,170318268003,170318269011,170318270001"
155,"170318282012,170318282023,170318280003,170318280004,170318281005"
156,"170318285031,170318285081,170318285084,170318285052,170318285054,170318281004,170318281005,170318297002,170318285051,170318283001,170318282021,170318282022,170318287022,170318282024,170318287023,170318285083,170318285072"
157,"170318423001,170312432001,170312421003,170312420001,170312434001,170312433001"
158,"170312432001,170312430001,170312431001,170312421003,170312423002,170312423001,170312421002,170312422001"
159,"170312425001,170312425002,170312423002,170312413001,170312424002,170312411001,170312423001,170312412001,170312412002"
160,"170312425002,170312426001,170312426003,170312426002,170312424002,170312411001,170312411002,170312412002,170312424001"
161,"170312425001,170312424002,170312429001,170312426003,170312428001,170312424001"
162,"170312425001,170312411002,170312409001,170312410001,170312426002,170312410002"
163,"170318019023,170318022002,170318021001,170318023001,170318022001,170318019013,170318019021"
164,"170318019011,170318021001,170318022003,170318023002,170318019013"
165,"170318024044,170318024042"
166,"170318024023,170318024022,170318024024,170318025043,170318025052,170318024043"
167,"170310202004,170310203023,170310201001,170310204001,170310203021"
168,"170312425001,170312425002,170312426004,170312426002,170312428001"
169,"170312423002,170312431001,170312422002,170312430002,170312431002"
170,"170312432002,170312432001,170312422002,170312430001,170312421003,170312423002,170312431002"
171,"170312435002,170312435001,170312434003,170312433001,170312434002,170318423002,170312433002,170318423001,170312420002"
172,"170318330002,170312433002,170312434001,170312434002"
173,"170316810002,170316809002,170316810004,170318348002,170316809001,170318346001"
174,"170310206024,170310203023,170310206011,170310203013,170310203021"
175,"170310202004,170310202002,170310203023,170310203013,170310202001,170310203022"
176,"170310205003,170310206023,170310208024,170310206024,170310209011,170310205002,170310206021"
177,"170310206022,170310206013,170310206024,170310208024,170310206011,170310208023,170310206021"
178,"170310207022,170310203012,170310206013,170310207021,170310206011"
179,"170310207022,170310208022,170310207021,170310208023,170310207024,170310207011,170310208012"
180,"170312502001,170312507001,170312503001,170312503003,170312507005,170312508001"
181,"170312503003,170312504001,170312503001"
182,"170312504003,170312504005,170312504002,170311913012,170311913021,170312503004,170312504004,170312503001,170312503003,170311912002"
183,"170316406002,170316403005,170316405001,170318209011,170316403006,170316403003,170316404001"
184,"170319801001,170316401001,170316407002,170318209011,170316408001,170316408002"
185,"170319801001,170316407003,170318209011,170316407001"
186,"170319801001,170316407002,170318209011,170316407004"
187,"170316406001,170319801001,170316403001,170316407003,170318209011"
188,"170316401001,170316503011,170316503012,170316502006,170318209011,170319801001,170316407001,170316408002"
189,"170316503012,170316505003,170318209011,170316408001,170316407001"
190,"170316501003,170316309002,170316204002,170316604004,170316204003,170316604003,170316501002,170316501004"
191,"170316810003,170316811001,170316811004,170316812002,170316810004,170316809004,170316809001"
192,"170316810001,170316811001,170316811004,170316811005,170316810004,170316810002"
193,"170316810003,170316709002,170316811004,170316811005,170316806001,170318349002,170316810004"
194,"170316810003,170316811002,170316811004,170316812002,170316811003,170316812003,170316809001,170316810002"
195,"170316811001,170316811004,170316811003,170316812002,170316814001,170316814004,170316812003,170316813002"
196,"170316810003,170316810001,170316811001,170316811002,170316811005,170316811003,170316810002"
197,"170316810003,170316810001,170316811004,170316718001,170316811003,170316814004,170316814002,170318349002,170318349001"
198,"170313504001,170318392002,170318410001,170318420001,170318420002"
199,"170310814021,170310814031,170310814033"
200,"170312207013,170312207012,170312207023,170312207024,170312105021,170312207011"
201,"170310101003,170310101002,170318100003"
202,"170319900000,170310306041,170310306043,170310306013,170310307061"
203,"170313016001,170313017011,170313008002,170313007003,170313006002,170318408001"
204,"170318266001,170315401012,170315401022,170315401021,170318215001,170315401023,170315502002,170318264012,170318265001"
205,"170318219001,170317203001,170317203002,170317203003,170317204001"
206,"170318219001,170317201001,170317203001,170318216003,170317203004"
207,"170318219001,170317204002,170317206001,170317205001,170317203004,170317203003,170317205002"
208,"170318219001,170317205001,170318219002,170317204001,170318219003,170317205002"
209,"170312831002,170312832001,170318429001,170318382002"
210,"170318001001,170318002002,170318018001,170318002005,170318015001"
211,"170318001001,170318001002,170318002001,170318002003,170318002005,170318002006"
212,"170318001002,170318002006,170318002002,170318002004"
213,"170318001002,170318002003,170318002006,170318003001,170318003003,170318004001"
214,"170318002006,170318002001,170318002002,170318018001"
215,"170310207022,170318080022,170310203012,170310206012,170310207023,170310207024,170311301003"
216,"170310208022,170310401001,170310208024,170310208014,170310208023,170310208012,170310209013"
217,"170310403001,170310207012,170310402021,170310208014,170310208011,170310208012,170310207011"
218,"170310208022,170310207023,170310208014,170310208011,170310208013,170310207011,170310208021"
219,"170310401001,170310208024,170310208014,170310208021,170310209012,170310209011"
220,"170310205001,170310205002,170310205004,170310206022,170310209021,170310208024,170310209012,170310209013"
221,"170310305001,170310303002,170310304001,170310302001,170310302002,170310305002,170310303001,170310302004"
222,"170318306004,170318306001,170310209021,170310302003,170318306003,170310302004,170310303002"
223,"170310304001,170310401001,170310209021,170310305002,170310302003,170310303001,170310302004"
224,"170316502001,170316502002,170316501002,170316503013,170316503021,170316501001,170316501004"
225,"170316501003,170316502004,170316204003,170316203003,170316502003,170316502002,170316203002,170316501004"
226,"170316502001,170316502005,170316203003,170316502003,170316203005,170316502002,170316502006"
227,"170319801001,170316502004,170316401001,170316502003,170316203005,170316502006"
228,"170316503011,170316505002,170316505003,170316503014,170316408001,170316408002"
229,"170316401001,170316503012,170316502006,170316408001,170316502003,170316502002,170316503013,170316503014"
230,"170316504005,170316504002,170316504003,170316605003,170316503022,170316609003"
231,"170316504003,170316504004,170316504005,170316504001"
232,"170316504001,170316504002,170316505003,170316504004,170316611002,170317001001,170317002001,170316609003"
233,"170316505003,170316504005,170316505001,170316504002,170316504003"
234,"170316813001,170317101001,170316814003,170317102001,170316814001"
235,"170316811002,170316811003,170316813003,170316814004,170316812003,170316813002,170316813001,170316814003"
236,"170316811002,170316814003,170316811005,170316811003,170316814001,170316814002"
