GEOID,neighbors
2066,"170318207001,170318155001,170318155003,170318155004,170318145002,170318145003"
2067,"170318155001,170318155002,170318155004,170318155005,170318207001"
2068,"170318155001,170318155002,170318152003,170318155003,170318155005,170318154001"
2069,"170318155003,170318155004,170318207001,170318154001,170318155006"
2070,"170318207004,170318157014,170318191001,170318154002,170318154003,170318155006"
2071,"170318161004,170318157011,170318156002,170318148002,170318148005"
2072,"170318161004,170318156003,170318157011,170318156001,170318161006"
2073,"170318189003,170318186003,170318186001,170318185003,170318185004,170318184022,170318190001,170318185002,170318190004,170318181002"
2074,"170318184023,170318185001,170318185003,170318185004,170318184014,170318184022"
2075,"170318188006,170318189001,170318189003,170318186003,170318186001,170318180003,170318187001,170318187002,170318188001,170318181002"
2076,"170318030073,170318030173,170318030172,170318030133,170318030121,170318036141,170318036132,170318030051,170318030161"
2077,"170318031001,170318030081,170318032001,170318029001,170318030172,170318030161"
2078,"170318030073,170318025032,170318025033,170318030132,170318030131,170318030072"
2079,"170318030073,170318030082,170318025031,170318025033,170318025034,170318030083,170318030071"
2080,"170318045112,170318045061,170318045062,170318045051,170318045052"
2081,"170318046031,170318051053,170318046033,170317702022"
2082,"170318046091,170318046032,170318046031,170317702022,170318046081,170318046093"
2083,"170318052023,170318052024,170318053022,170318052013,170318060041,170318053012,170318053023"
2084,"170318053011,170318053021,170318053023,170318053012,170318084002,170318084003"
2085,"170318053011,170318054021,170318054013,170318054022,170318054023,170318054012,170318053013,170318060044"
2086,"170318054011,170318054022,170318054013,170318054023,170318054024,170318054025,170318055021"
2087,"170318054011,170318054012,170318055012,170318055021,170318059021,170318055024,170318059024,170318060044,170318060042"
2088,"170318078002,170318081001,170311202001,170318079003"
2089,"170318083021,170318083023,170318077002,170318078001,170318077004,170318079001,170318081001,170318079003,170318083014,170318082003,170318083012"
2090,"170318076002,170318079003,170318077002,170318078002,170318079002,170318080011,170318080013"
2091,"170318079003,170318079001,170311203006,170311202004,170311203005,170318080013"
2092,"170318114012,170318114014,170318114023,170318113022,170318114022,170318114013,170318114015"
2093,"170318113011,170318113013,170318114021,170318114011,170318117012,170318114023,170318114013,170318117023,170318114012"
2094,"170318113011,170318113021,170318113022,170318114022,170318114021"
2095,"170318122003,170312505007,170318122004,170318109005,170318119002,170318119004,170318109004,170318110004"
2096,"170318122003,170318122004,170318123021,170318119003,170318119004,170318123022,170318119001"
2097,"170318123021,170318123022,170318119002,170318119004,170318120001,170318120003,170318123023,170318120006"
2098,"170318157025,170318158001,170318161004,170318156005,170318157011,170318157012,170318156002,170318161006"
2099,"170318179003,170318180003,170318156005,170318180002,170318179002"
2100,"170318158001,170318179002,170318180003,170318156004,170318156003,170318187001,170318161006,170318180002"
2101,"170318156003,170318156001,170318153002,170318157012,170318157013,170318156002,170318148005"
2102,"170318156003,170318157025,170318157011,170318157013,170318157021"
2103,"170318154004,170318153002,170318157011,170318157012,170318148005,170318157014,170318157021"
2104,"170318180003,170318158001,170318156005,170318187002,170318187003,170318186002"
2105,"170318187001,170318187003,170318186002,170318188001"
2106,"170318188005,170318158001,170318187001,170318187002,170318187004,170318188001,170318188002"
2107,"170318188005,170318158001,170318193001,170318193002,170318187003,170318188002,170318188003"
2108,"170318188005,170318188006,170318187002,170318187003,170318186002"
2109,"170318188005,170318187003,170318187004,170318188003,170318188004"
2110,"170318189001,170318193002,170318193003,170318195001,170318187004,170318188002,170318188004"
2111,"170318188005,170318189001,170318188002,170318188003"
2112,"170318030133,170318030083,170318030132,170318030161,170318030051,170318030052,170318030071,170318030072"
2113,"170318030082,170318030083,170318031001,170318029001,170318026082,170318030151,170318030171,170318030161"
2114,"170318030081,170318025031,170318025033,170318030083,170318030152,170318030151,170318030072"
2115,"170318030132,170318030131,170318024042,170318030102"
2116,"170318047091,170318046031,170318047095,170318046083,170318046081"
2117,"170318046113,170318048101,170318048102,170318048103,170318047093,170318046083"
2118,"170318053011,170318054011,170318082001,170318054022,170318084002"
2119,"170318054011,170318054012,170318054021,170318054023,170318082001"
2120,"170318054011,170318054012,170318054022,170318082001,170318054024,170318082002"
2121,"170318054012,170318054023,170318054025,170318055021,170318081001,170318082002,170318082003,170310901001"
2122,"170318055022,170318054012,170318054024,170310901001,170310901004,170318055021"
2123,"170318058023,170318055024,170318056002,170318055013"
2124,"170318054013,170318058021,170318058022,170318058023,170318055013,170318055024,170318059024,170318059026"
2125,"170318076004,170318076005,170318077002,170318079001,170318076002,170318080012,170318080013"
2126,"170318080021,170318076003,170318076004,170318076005,170318080024,170318080011,170318080013"
2127,"170318080024,170318080011,170311203001,170318079001,170318079002,170311203005,170318080012"
2128,"170310203012,170318076003,170311301003,170310203011,170318080023,170318080021,170318080024,170310207021,170310202001"
2129,"170318080022,170318080024,170311301003"
2130,"170311203001,170311301003,170318080012,170318080022,170318080023,170318080021,170318080013,170311301001"
2131,"170318119001,170318119002,170318119003,170318174001,170318110004,170318110005,170318162001,170318120006"
2132,"170318119003,170318123022,170318120003,170318123011,170318123023,170318120002"
2133,"170318119003,170318120001,170318120002,170318120004,170318120006"
2134,"170318159001,170318120002,170318159003,170318120003,170318120005,170318120006"
2135,"170318120004,170318159003,170318120006,170318160003,170318175001"
2136,"170318119003,170318119004,170318120003,170318174001,170318120005,170318120004,170318175001"
2137,"170312506004,170312506003,170312504003,170312504005,170312504004,170318121002,170318121004,170318121005"
2138,"170312506003,170312513005,170318121001,170318121003,170318121004,170318121005"
2139,"170318207004,170318191001,170318154003,170318154004,170318155007,170318157013,170318157021,170318157022,170318157023"
2140,"170318157025,170318157012,170318157013,170318157014,170318157022"
2141,"170318157025,170318157014,170318157021,170318157023,170318157024"
2142,"170318157014,170318191001,170318191002,170318191003,170318191004,170318157022,170318157024"
2143,"170318157025,170318158001,170318191004,170318157022,170318157023,170318192003"
2144,"170318188006,170318189001,170318187003,170318187004,170318188001,170318188002,170318188004"
2145,"170318188005,170318189001,170318186002,170318188001"
2146,"170318188005,170318188006,170318189002,170318189003,170318186003,170318195001,170318186002,170318188003,170318188004"
2147,"170318190002,170318189001,170318189003,170318190003,170318190001,170318195001"
2148,"170318189001,170318189002,170318190001,170318186003,170318186002,170318185001"
2149,"170318190002,170318189002,170318197002,170318190001,170318195001,170318190004"
2150,"170318207004,170318207003,170318191002,170318191003,170318192001,170318207002,170318202021,170318208003,170318155007,170318157014,170318157023"
2151,"170318030101,170318030103,170318030132,170318030131,170318024042"
2152,"170318030133,170318030102,170318030104,170318030132,170318030121"
2153,"170318030103,170318030133,170318030121,170318036122"
2154,"170318030073,170318030101,170318030133,170318030102,170318030103,170318030131,170318030071"
2155,"170318048032,170318046113,170318046064,170318048103,170318048033"
2156,"170318046073,170318046064,170318046071,170318046062,170318046063"
2157,"170318046102,170318046101,170318046061,170317702022,170318046092,170318046064,170318046071,170318046062"
2158,"170318055024,170318058022,170318058023,170318055011,170318055012"
2159,"170318055022,170318055024,170318054012,170318054013,170318054024,170318054025"
2160,"170318055023,170318055024,170318054025,170310901004,170318055021"
2161,"170318055022,170310902004,170318055024,170310903001,170318056002,170310901003,170310901004"
2162,"170318054013,170318055011,170318055012,170318055013,170318055021,170318055022,170318055023,170318056002"
2163,"170318058024,170318056002,170318056003,170318056004,170318057011,170318104004,170318057021,170318057012"
2164,"170310902004,170310903001,170318058023,170318055011,170318058024,170318055023,170318055024,170318056001,170318056003,170318056004"
2165,"170318056004,170318056001,170318056002,170310903001"
2166,"170310902002,170311002001,170310901002,170311201003,170318081001,170311002006,170311002007,170310901001,170310902001"
2167,"170318053011,170318054021,170318054022,170318054023,170318083011,170318082002,170318084002"
2168,"170318082003,170318082001,170318054023,170318054024,170318083011"
2169,"170318083012,170318081001,170318082002,170318054024,170318083011,170310901001,170318078002"
2170,"170318084001,170318082001,170318082002,170318082003,170318084002,170318083012"
2171,"170312513005,170318124001,170318121002,170318125001,170318121004,170318125004"
2172,"170318124001,170318121001,170318121002,170318121003,170318121005,170318122002"
2173,"170318121001,170312504005,170318121002,170318121004,170318122001,170318122002"
2174,"170318122003,170318122004,170312504005,170318121005,170312505002,170318122002"
2175,"170318122003,170318122004,170318124001,170318124003,170318121004,170318121005,170318122001"
2176,"170318119002,170318122004,170318123021,170318122002,170318124003,170318122001,170318119001"
2177,"170318122003,170312505007,170318119001,170318119002,170318109004,170318122001,170312505002,170312505003,170318122002"
2178,"170318119002,170318119003,170318122003,170318123022,170318124003"
2179,"170318156003,170318158001,170318157012,170318157021,170318157022,170318157024"
2180,"170318157025,170318192003,170318180003,170318156003,170318156005,170318193001,170318187001,170318187003,170318187004,170318157024"
2181,"170318128011,170318120002,170318159002,170318123012,170318159003,170318120004,170318128012"
2182,"170318159001,170318128012,170318159003,170318160001,170318160002,170318129004"
2183,"170318159001,170318159002,170318120004,170318160001,170318160002,170318120005,170318160003"
2184,"170318159002,170318159003,170318160002,170318132005,170318160003,170318161001,170318128012,170318129004,170318161006"
2185,"170318160001,170318160003,170318159002,170318159003"
2186,"170318157023,170318191003,170318192001,170318191001"
2187,"170318191001,170318191002,170318191004,170318192001,170318157023,170318192003"
2188,"170318157024,170318191003,170318157023,170318192003"
2189,"170318202021,170318191001,170318191002,170318191003,170318192002,170318192003"
2190,"170318202021,170318192004,170318192001,170318192003"
2191,"170318158001,170318194001,170318191003,170318191004,170318192001,170318192002,170318192004,170318193001,170318157024"
2192,"170318030081,170318032001,170318029001,170318032002,170318029004,170318031002,170318030171"
2193,"170318031001,170318032002,170318036073,170318030172,170318032003,170318030171,170318039012"
2194,"170318031001,170318032001,170318032003,170318033003,170318031002,170318033001"
2195,"170318032001,170318032002,170318033003,170318033001,170318039021,170318039012"
2196,"170318033002,170318031002,170318028012,170318028011,170318032002,170318032003,170318029003,170318029004,170318033001,170318034003,170318034006"
2197,"170318046102,170318046113,170318046062,170318048033,170318046111,170318046061,170318046063"
2198,"170318046073,170317702022,170318046061,170318046063,170317702012"
2199,"170318047013,170318047012,170318047014,170318047052"
2200,"170310903001,170318056001,170318056002,170318104001,170318056003,170311004001,170318104004,170318057021"
2201,"170318056001,170318058024,170318057015,170318057012,170318057013"
2202,"170318058013,170318066002,170318058025,170318065023,170318057013,170317707001,170318057015,170318057022"
2203,"170318057011,170318057014,170318057021,170318057022,170318057013,170318057012"
2204,"170318104004,170318056001,170318104003,170318056004,170318057015,170318057022,170318057012"
2205,"170318066002,170318057015,170317707001,170318104003,170317608012,170317608011,170318057014,170318104004,170318057021,170318057012"
2206,"170318059013,170318058012,170318058013,170318058021,170318058022"
2207,"170318083013,170318085001,170318084001,170318078002,170318085004,170318083014,170318082003,170318083011"
2208,"170318085004,170318083021,170318085003,170318083014,170318083012"
2209,"170318083013,170318083022,170318083023,170318070003,170318078002,170318085003,170318085002,170318083014,170318073005"
2210,"170318083021,170318073002,170318073003,170318083023,170318073005"
2211,"170318083021,170318083022,170318073002,170318077004,170318078002"
2212,"170318085001,170318086001,170318086002,170318083011,170318084002,170318084003,170318083012"
2213,"170318119002,170318119003,170318123021,170318120001,170318123023,170318124002,170318124003"
2214,"170318128022,170318123012,170318124001,170318124002,170318125003,170318123011,170318127003,170318127002"
2215,"170318128011,170318159001,170318128022,170318123013,170318128021,170318120002,170318123011"
2216,"170318123013,170318124002,170318124003,170318125003,170318125004,170318121003,170318121004,170318122002"
2217,"170318123022,170318123013,170318123011,170318124001,170318124003,170318123023"
2218,"170318122003,170318123021,170318123022,170318124001,170318124002,170318122002"
2219,"170318125003,170312513005,170318125004,170312514003,170318121003,170318125002"
2220,"170312520004,170318125001,170312514004,170318125003,170318126004,170318125004,170312514003,170318126001"
2221,"170318120005,170318159003,170318160001,170318160002,170318161006,170318175001,170318161001"
2222,"170318161005,170318160001,170318132005,170318129004,170318161006,170318160003,170318161002"
2223,"170318161003,170318161004,170318161005,170318147005,170318132005,170318161001"
2224,"170318147005,170318161004,170318148001,170318161002"
2225,"170318161002,170318161003,170318156003,170318161005,170318156001,170318147005,170318156002,170318148001,170318148005,170318161006,170318148002"
2226,"170318161004,170318161006,170318161001,170318161002"
2227,"170318202021,170318194002,170318194001,170318192002,170318192003"
2228,"170318158001,170318193002,170318194001,170318187004,170318194003,170318192003"
2229,"170318193001,170318193003,170318194004,170318194001,170318187004,170318194003,170318188003"
2230,"170318195003,170318195004,170318193002,170318194004,170318195001,170318188003"
2231,"170318202021,170318192004,170318194004,170318194005,170318194003,170318194001"
2232,"170318195004,170318193002,170318193003,170318194002,170318194005,170318194003"
2233,"170318195004,170318202021,170318196003,170318194002,170318194004,170318194003"
2234,"170318195002,170318195003,170318189001,170318189002,170318197002,170318190003,170318197003,170318193003,170318188003"
2235,"170318033002,170318039021,170318035005,170318039022,170318032002,170318032003,170318033003,170318035001,170318039012"
2236,"170318034002,170318028025,170318028012,170318028013,170318034004,170318034003,170318028015"
2237,"170318034002,170318034005,170318033003,170318028012,170318034001,170318034004,170318034006"
2238,"170318051101,170318028025,170318034005,170318051102,170318034001,170318034003,170318034006"
2239,"170318034005,170318033002,170318028012,170318033003,170318035002,170318035001,170318034003,170318034004"
2240,"170318035004,170318034005,170318051103,170318051104,170318051061,170318051062,170318035002,170318040001"
2241,"170318035003,170318035002,170318040001,170318035001,170318035005,170318039022"
2242,"170318047013,170318047052,170318047011"
2243,"170318047051,170318047052,170318047013,170318042031,170318042024,170318047143,170318041051,170318047011"
2244,"170318047014,170318047052,170318047053,170318047061,170318047062,170318047143"
2245,"170318047012,170318047014,170318047051,170318047011,170318047013,170318047053,170318047143"
2246,"170318058013,170318064001,170318059012,170318065021,170318065023,170318065022,170318059013,170318058011"
2247,"170318058012,170318058021,170318066002,170318058022,170318058025,170318065023,170318057013,170318057014,170318058011"
2248,"170318059013,170318058022,170318058013,170318059026,170318055012,170318058011"
2249,"170318058013,170318058021,170318058023,170318058011,170318058025,170318055013,170318055012"
2250,"170318058022,170318055011,170318058025,170318058024,170318055013,170318055012,170318057013,170318056002"
2251,"170318056001,170318056002,170318057011,170318058023,170318058025,170318057013"
2252,"170318058023,170318058013,170318058022,170318057014,170318058024,170318057013"
2253,"170318053011,170318053022,170318084001,170318054021,170318082001,170318083011,170318084003"
2254,"170318053011,170318053022,170318084001,170318052022,170318086002,170318084002,170318053023"
2255,"170318085002,170318083021,170318085004,170318085001,170318083013"
2256,"170318083013,170318085003,170318085001,170318083012"
2257,"170318123013,170318124001,170318125001,170318125002,170318126004,170318127001,170318127002,170318125004,170318126001"
2258,"170318130004,170312521011,170312520003,170312520004,170318126003,170318126004,170318126001,170318130001"
2259,"170318130004,170318126002,170318126004,170318127001,170318130005,170318126001,170318130001"
2260,"170318125003,170318126002,170318126003,170318127001,170318126001,170318125002"
2261,"170318130004,170318125003,170318126003,170318126004,170318127002,170318129001,170318130005"
2262,"170318125003,170318127001,170318123013,170318127003,170318129001"
2263,"170318128022,170318123013,170318127002,170318128023,170318129001,170318129003"
2264,"170318128021,170318129003,170318128022,170318127003"
2265,"170318127001,170318127002,170318127003,170318129003,170318129002,170318130005"
2266,"170318174002,170318119004,170318174001,170318110005,170318162002,170318113022,170318112003"
2267,"170318162001,170318174002,170318162003,170318113022"
2268,"170318163003,170318162003,170318113022,170318163002,170318163004"
2269,"170318163003,170318164021,170318162003,170318163001,170318163004,170318164011"
2270,"170318163003,170318163001,170318165001,170318113022,170318163002"
2271,"170318163003,170318164013,170318164021,170318165001,170318164012,170318163002"
2272,"170318195003,170318197002,170318197003,170318196001,170318195001"
2273,"170318195002,170318195004,170318193003,170318196001,170318195001"
2274,"170318195003,170318196002,170318196003,170318194005,170318202021,170318193003,170318194004,170318196001"
2275,"170318195004,170318196003,170318197003,170318197004,170318196001"
2276,"170318201031,170318195004,170318196002,170318196004,170318197004,170318197001,170318202021,170318194005"
2277,"170318201031,170318197001,170318201033,170318196003"
2278,"170318195002,170318197002,170318196002,170318197004,170318198012,170318198013,170318196001,170318195001"
2279,"170318036044,170318036161,170318036043,170318036082"
2280,"170318036051,170318036042,170318036043,170318036041,170318036052,170318036161"
2281,"170318036161,170318036044,170318036052,170318037012,170318037011,170318038001,170318038004"
2282,"170318036051,170318036053,170318036054,170318036044,170318036041,170318038001,170318036055"
2283,"170318047121,170318047051,170318047052,170318047161,170318047162,170318047013,170318047062"
2284,"170318047133,170318047051,170318047142,170318047134,170318047062,170318047143"
2285,"170318047051,170318047134,170318047161,170318047162,170318047152,170318047053,170318047061"
2286,"170318047014,170318047051,170318047052,170318041051,170318047061,170318047142"
2287,"170318059013,170318059023,170318060023,170318060025,170318059012,170318060022,170318060024"
2288,"170318059023,170318058012,170318058021,170318059026,170318059012,170318058011,170318059011"
2289,"170318059022,170318059024,170318060042,170318054013"
2290,"170318059021,170318059023,170318059024,170318059025,170318059026,170318060042"
2291,"170318059025,170318060052,170318059011,170318059013,170318059022,170318060025,170318059026,170318060042"
2292,"170318059021,170318059022,170318054013,170318059026,170318055012"
2293,"170318014002,170318021003,170318069003,170318085001,170318084001,170318022002,170318086002,170318022001,170318052021"
2294,"170318084001,170318052022,170318086001,170318084003,170318053023,170318052021"
2295,"170318013001,170318092001,170318011002,170318093001,170318091001,170318091002,170318088002,170318013002,170318013003,170318013004,170318089001"
2296,"170318013001,170318093001,170318087023,170318012003,170319900000,170318088001,170318087021,170318093002"
2297,"170318131004,170318129003,170318129001,170318130005,170318129004,170318132005,170318132001"
2298,"170318129001,170318128021,170318128023,170318129002,170318127003,170318129004"
2299,"170318159002,170318128021,170318160001,170318132005,170318132001,170318161001,170318128011,170318128012,170318129002,170318129003"
2300,"170318130004,170312521011,170312520003,170318126002,170318126003,170318130002,170318130003"
2301,"170318130004,170312521011,170318131004,170318130001,170318130003,170318131001"
2302,"170318130004,170318131004,170318130005,170318130001,170318130002,170318131001"
2303,"170318131003,170312521011,170318131004,170318131002,170318314002,170318130002,170318130003"
2304,"170318131004,170318146004,170318131002,170318146001,170318135005,170318131005,170318131001"
2305,"170318131003,170318131002,170318131005,170318132001,170318129002,170318130005,170318130002,170318130003,170318131001"
2306,"170318164021,170318164022,170318164024,170318164012,170318164014,170318164011"
2307,"170318164013,170318164022,170318164023,170318162003,170318163002,170318164011"
2308,"170318164013,170318164021,170318164023,170318164024,170318164014,170318162003"
2309,"170318174002,170318164021,170318164022,170318174003,170318164024,170318162003"
2310,"170318164013,170318164022,170318164023,170318172001,170318174003,170318173001,170318164014,170318175003"
2311,"170318163003,170318164012,170318113022,170318165002,170318166001,170318166002,170318166003,170318163004,170318164011"
2312,"170318164013,170318165002,170318165001,170318164014,170318170005,170318164011"
2313,"170318196002,170318196003,170318201034,170318197003,170318197001,170318198013,170318198021"
2314,"170318201033,170318201034,170318196004,170318196003,170318197004"
2315,"170318198015,170318197002,170318198012,170318190004"
2316,"170318198015,170318197002,170318197003,170318198011,170318198013,170318198014"
2317,"170318197002,170318201034,170318197003,170318197004,170318198012,170318198014,170318198021,170318198022"
2318,"170318198015,170318198022,170318199001,170318199002,170318198012,170318198013,170318198021"
2319,"170318198022,170318201034,170318197004,170318198013,170318198014"
2320,"170318201034,170318201043,170318198013,170318198014,170318198021,170318201011,170318199002,170318201012,170318199003"
2321,"170318036071,170318030173,170318036052,170318036072,170318036073,170318036074,170318038001,170318036054"
2322,"170318036071,170318036053,170318036073,170318036074"
2323,"170318030173,170318032001,170318036053,170318030172,170318036072,170318036074,170318039012"
2324,"170318036071,170318039012,170318038002,170318039011,170318036053,170318036072,170318036073,170318038001"
2325,"170318036111,170318036083,170318036113"
2326,"170318047133,170318047091,170318047152,170318047061,170318047062,170318047132"
2327,"170318046082,170318046031,170318047095,170318047094,170318047134,170318047151,170318047152,170318047132,170318047131"
2328,"170318059026,170318059022,170318059023"
2329,"170318059013,170318059025,170318059022,170318059023,170318059024,170318058021,170318055012"
2330,"170318060014,170318020043,170318052012,170318020021,170318060013,170318052013"
2331,"170318060043,170318060061,170318060014,170318060011,170318052013"
2332,"170318060021,170318060063,170318060062,170318059011,170318060051,170318060025,170318060022,170318060024"
2333,"170318060051,170318060025,170318060052,170318060063,170318060023,170318059011"
2334,"170318011003,170318091003,170318090001,170318011002,170318091001,170318088001,170318089002"
2335,"170318011003,170318090001,170318091003,170318089003,170318090002,170318089001"
2336,"170318011003,170318010003,170318090002,170318090003,170318090004,170318068011,170318067004,170318068012,170318089002"
2337,"170318091003,170318090002,170318067001,170318091002,170318089001,170318089002"
2338,"170318089003,170318090001,170318090003,170318067001,170318067002,170318089002"
2339,"170318089003,170318090002,170318067001,170318090004,170318067003,170318067004,170318067002"
2340,"170318089003,170318090003,170318067004"
2341,"170318091003,170318089001,170318091002,170318088001"
2342,"170318091003,170318090001,170318092001,170318092004,170318093001,170318091001,170318067001,170318088001"
2343,"170318146004,170318146005,170318147001,170318132003,170318132004,170318131005,170318132001"
2344,"170318147001,170318147004,170318132004,170318132005,170318132001,170318132002"
2345,"170318132003,170318132005,170318132001,170318132002"
2346,"170318132003,170318160001,170318132004,170318132001,170318161001,170318161002,170318147004,170318147005,170318129002,170318129004"
2347,"170318134003,170318137011,170318314002,170318134006,170318136001,170318134002,170318134005,170318133011"
2348,"170318131003,170318131004,170318146004,170318146005,170318132002,170318146001,170318132001"
2349,"170318131004,170318132002,170318132003,170318132004,170318132005,170318131005,170318129002,170318129004"
2350,"170318134005,170318134003,170318134001,170318136001,170318134004"
2351,"170318165001,170318164012,170318167002,170318168001,170318165003,170318166003,170318169004,170318167001,170318170005"
2352,"170318167002,170318167001,170318165002"
2353,"170318166002,170318167001,170318165001,170318113014,170318113022"
2354,"170318166001,170318166003,170318167001,170318165001"
2355,"170318166002,170318167001,170318165002,170318165001"
2356,"170318167002,170318165002,170318165003,170318166001,170318166002,170318166003,170318118004,170318113014"
2357,"170318198015,170318199002,170318200001,170318190004,170318198014"
2358,"170318200002,170318198014,170318198022,170318199001,170318201012,170318200001,170318199003,170318201013"
2359,"170318200002,170318190004,170318199001,170318199002"
2360,"170318201012,170318200001,170318199002,170318201013"
2361,"170318036111,170318036114,170318036112,170318036115,170318036083"
2362,"170318036115,170318036132,170318036082,170318036113,170318036131,170318036083"
2363,"170318048083,170318048101,170318046112,170318047095,170318046083,170318047102"
2364,"170318047163,170318047095,170318047094,170318047161,170318047151,170318047152,170318047101,170318047102"
2365,"170318047163,170318047122,170318047123,170318047161,170318047103,170318047104,170318047092,170318047102"
2366,"170318047163,170318047095,170318048082,170318048083,170318047103,170318047093,170318047092,170318047101"
2367,"170318060043,170318054013,170318060052,170318059021,170318059022,170318059023,170318060051,170318060044"
2368,"170318090001,170318091001,170318091002,170318089001,170318089002"
2369,"170318092002,170318092004,170318093001,170318091002,170318088001,170318092003"
2370,"170318092001,170318093001,170318093003,170318095001,170318096001,170318096002,170318092003"
2371,"170318092001,170318067001,170318071002,170318091002,170318096003,170318092003"
2372,"170318092001,170318092002,170318093003,170318091002,170318088001,170318088002,170318093002"
2373,"170318092002,170318093001,170318095001,170318094021,170318087021,170318093002"
2374,"170318134002,170318134001,170318136001,170318136002,170318136003,170318134004"
2375,"170318135001,170318134001,170318314002,170318134005"
2376,"170318131002,170318134006,170318314002,170318135002,170318135005,170318135004,170318134005,170318134004"
2377,"170318139005,170318135004,170318140001,170318135001,170318135003,170318134004,170318136003"
2378,"170318135004,170318151001,170318140001,170318135002,170318150001"
2379,"170318131003,170318135004,170318131002,170318135001,170318146001,170318146002"
2380,"170318134003,170318137011,170318134001,170318141001,170318136002,170318136003,170318134002,170318138023,170318139001,170318133011"
2381,"170318136003,170318136001,170318134003"
2382,"170318134003,170318140001,170318135002,170318141001,170318136001,170318136002,170318139001,170318139005,170318134004"
2383,"170318168001,170318168003,170318169004,170318183004,170318183003"
2384,"170318168001,170318168004,170318183004,170318183001,170318168002"
2385,"170318168003,170318184011,170318183002,170318183001"
2386,"170318170004,170318169002,170318169004,170318170005"
2387,"170318169004,170318169002,170318170004,170318170003,170318183003"
2388,"170318183003,170318165002,170318168001,170318168002,170318169001,170318169003,170318169002,170318170005"
2389,"170318198022,170318201034,170318201012,170318201044,170318201043,170318201015,170318201017"
2390,"170318201014,170318199003,170318198022,170318201011,170318199002,170318201013,170318200002,170318201015,170318201017"
2391,"170318200002,170318201012,170318199002,170318201014,170318201015"
2392,"170318201015,170318202041,170318201012,170318201013"
2393,"170318201011,170318201012,170318201013,170318201014,170318201017,170318201016,170318202041"
2394,"170318037012,170318036161,170318036041,170318037021,170318037024,170318038004"
2395,"170318037012,170318037022,170318038003,170318038004,170318037024,170318037011,170318037023"
2396,"170318037021,170318041023,170318038003,170318041021,170318037023,170318041061,170318041062"
2397,"170318041021,170318037021,170318037022,170318037024"
2398,"170318036071,170318038002,170318036052,170318036041,170318038003,170318038004,170318039011,170318036053,170318036074"
2399,"170311105021,170311504012,170311503006,170311503001,170311503002,170311504011"
2400,"170318036053,170318036072,170318036074,170318038001"
2401,"170312306004,170312306001,170312307003,170312312005,170312306003,170318421004,170312306005"
2402,"170318318005,170311203001,170311203002,170311203003,170311204002,170311204001,170311301001,170311301002,170311404005,170311403021,170311404004,170311404001,170311202004,170311404002,170311403023,170311404003"
2403,"170318005005,170318008001,170318005001,170318005002,170318005003,170318003003"
2404,"170318018003,170318003003,170318002001,170318008001,170318002005,170318015001,170318002006,170318018004,170318019021,170318019022"
2405,"170311606022,170311606012,170311408004,170311407021,170311605022,170311606023,170311408003,170311605011"
2406,"170318241192,170318241191"
2407,"170315401022,170315401011,170315401023"
2408,"170318307004,170310321002,170310314005,170310315022,170310321001"
2409,"170312209012,170312209021,170312209022,170312209013,170312229001"
2410,"170317003011,170317004013,170317003013,170317004012,170317003023,170317003024"
2411,"170318423001,170312421001,170312420003,170312421003,170312420002"
2412,"170310105032,170310301041,170310302001,170310302004,170310104003,170310106003"
2413,"170311105021,170311104001,170311105012,170311204003,170311105014"
2414,"170312522011,170312519001,170312521024,170312515004,170312518001,170312518002"
2415,"170312520001,170312521011,170312520002,170312519003,170312519001,170312521024"
2416,"170318331004,170312819001,170312819002,170312801001,170318391001,170312801003,170318391002,170318330001"
2417,"170310812021,170310812022,170310812023,170310811003"
2418,"170318422001,170318326001,170310712002,170310718001,170318326003,170310711001"
2419,"170312520001,170312520002,170312519001,170312514004,170312515004,170312519004"
2420,"170312519003,170312521024,170312515004,170312519002,170312519004"
2421,"170318104003,170317608031,170317608011,170311005005,170317608033,170318057022"
2422,"170317608021,170317608034,170317608031,170317608011,170317709022"
2423,"170317608033,170317608012,170317608034,170317608032,170317608011,170317709021"
2424,"170310633021,170310633024,170310632004,170310632001,170310633031"
2425,"170310632003,170310619023,170310632004,170310619021,170310619022"
2426,"170310619012,170310619023,170310619013,170310619014,170310619024,170310619021"
2427,"170312205002,170312211001,170312213003,170312204002,170312213001,170312212001"
2428,"170318094011,170318087021,170318087023"
2429,"170318047133,170318041051,170318047141,170318046031,170318047061,170318047143"
2430,"170318253034,170318253041,170318253031,170318253021,170318254003,170318254001"
2431,"170318045121,170318044061,170318044051,170318044063,170318044052"
2432,"170318048031,170318048042,170318048093,170318048073,170318048074"
2433,"170318048044,170318048092,170318048093,170318046072,170318048104,170318048033,170318048074"
2434,"170318300071,170318300073,170318300082,170318300083,170318300081"
2435,"170318300071,170318300072,170318300083,170318300081,170318300011,170318300061,170318300012"
2436,"170318300071,170318300072,170318300082,170318300081"
2437,"170318300072,170318300082,170318300083"
2438,"170318303001,170318302021,170318294023,170318303002,170318294021,170318294011"
2439,"170318300071,170318300073,170318302013,170318302012"
2440,"170314004002,170314005001,170318345001,170314003001,170314005002"
2441,"170314110002,170319900000,170314111002,170314202001,170318344002,170318439001"
2442,"170314201001,170314203001,170314111002,170314112002,170318344001,170318362001,170318439001,170318344002"
2443,"170318116003,170318116002,170318115002,170318115003,170318117011"
2444,"170317608021,170318115001,170318116003,170317708001"
