GEOID,total_pop,pct_white_nh,pct_black_nh,pct_asian_nh,pct_hispanic,median_hh_income,poverty_rate,pct_ba_plus,unemployment_rate,pct_owner,pct_renter
170318065021,950,44.0,19.57894736842105,7.473684210526316,28.52631578947368,59200.0,2.4210526315789473,36.57056145675266,4.792746113989637,88.81987577639751,11.180124223602485
170318065022,725,56.41379310344827,0.0,5.103448275862069,18.758620689655174,69659.0,22.06896551724138,29.40074906367041,4.332129963898916,99.625468164794,0.37453183520599254
170318065023,997,73.21965897693079,0.0,8.826479438314944,17.953861584754264,80750.0,4.012036108324975,19.781718963165076,0.34843205574912894,97.31343283582089,2.6865671641791042
170318065024,1309,64.47669977081742,0.0,2.826585179526356,31.779984721161192,61042.0,15.889992360580596,29.14349276974416,13.346613545816732,95.0413223140496,4.958677685950414
170318066001,1744,60.77981651376147,0.0,10.493119266055045,26.318807339449542,94602.0,6.221198156682028,31.962025316455694,0.9765625,96.06557377049181,3.934426229508197
170318066002,1631,65.78786020846107,0.9196811771919068,9.993868792152053,21.152667075413856,64493.0,4.843654199877376,31.179775280898873,0.47581284694686754,97.05340699815838,2.9465930018416207
170318067001,1163,76.1822871883061,6.276870163370593,4.299226139294927,11.607910576096304,111324.0,4.643164230438521,83.92857142857143,1.5337423312883436,96.51162790697676,3.488372093023256
170318067002,1193,81.13998323554065,12.070410729253982,2.095557418273261,3.1852472757753563,145500.0,0.0,86.64021164021165,0.984009840098401,98.14814814814815,1.8518518518518516
170318067003,950,56.52631578947368,1.789473684210526,36.31578947368421,5.36842105263158,115139.0,1.0526315789473684,57.925072046109506,3.591160220994475,100.0,0.0
170318067004,590,64.57627118644068,3.898305084745763,21.35593220338983,8.47457627118644,74347.0,0.5084745762711864,49.79253112033195,1.0183299389002036,100.0,0.0
170318068011,1018,35.55992141453831,16.601178781925345,39.09626719056975,6.090373280943026,49801.0,26.40736949846469,59.3006993006993,5.236270753512133,39.03846153846154,60.96153846153847
170318068012,1851,57.69854132901134,6.374932468935711,18.53052404105889,10.318746623446785,71080.0,21.46089204912734,35.661218424962854,0.46822742474916385,69.3050193050193,30.694980694980696
170318068013,947,72.22808870116157,0.0,20.696937697993665,1.478352692713833,109250.0,12.882787750791975,54.310344827586206,4.449648711943794,100.0,0.0
170318068014,456,44.73684210526316,4.605263157894736,48.46491228070175,0.0,67375.0,5.91016548463357,45.53846153846154,2.785515320334262,100.0,0.0
170318068021,537,78.95716945996276,0.0,17.50465549348231,3.5381750465549344,126250.0,0.0,55.27638190954774,5.361305361305361,98.05825242718447,1.9417475728155338
170318068022,1460,29.93150684931507,24.452054794520546,29.863013698630137,13.972602739726028,45833.0,0.410958904109589,40.9534127843987,3.264925373134328,39.9581589958159,60.04184100418411
170318068023,944,44.809322033898304,6.461864406779661,24.046610169491526,22.033898305084744,84135.0,7.627118644067797,68.95043731778425,0.0,85.71428571428571,14.285714285714285
